Date,Open,High,Low,Close,Adj Close,Volume
2012-03-23,85.360001,85.980003,85.019997,85.550003,70.714539,12557700
2012-03-26,86.180000,87.250000,86.070000,87.029999,71.937889,17336800
2012-03-27,87.139999,87.250000,86.540001,86.620003,71.598984,12509200
2012-03-28,86.360001,86.480003,85.139999,85.860001,70.970772,16155300
2012-03-29,85.320000,86.129997,84.910004,86.080002,71.152634,13199700
2012-03-30,86.480003,86.760002,86.089996,86.730003,71.689903,12968300
2012-04-02,86.599998,87.669998,86.309998,87.070000,71.970924,13853300
2012-04-03,86.750000,86.779999,85.000000,85.830002,70.945953,17714900
2012-04-04,85.300003,85.360001,84.489998,84.980003,70.243401,17112800
2012-04-05,84.559998,85.379997,84.349998,84.820000,70.111107,11954700
2012-04-09,83.980003,84.360001,83.680000,83.879997,69.334122,11027000
2012-04-10,83.750000,83.750000,81.879997,82.169998,67.920654,19993700
2012-04-11,83.110001,83.349998,82.150002,82.699997,68.358757,15856200
2012-04-12,82.650002,83.730003,82.360001,83.599998,69.102692,15266200
2012-04-13,82.970001,83.690002,82.860001,82.949997,68.565399,13856500
2012-04-16,83.239998,84.389999,83.129997,84.010002,69.441589,17526100
2012-04-17,84.650002,85.599998,84.570000,85.449997,70.631874,14208000
2012-04-18,85.059998,86.050003,85.019997,85.750000,70.879845,12997500
2012-04-19,85.510002,85.919998,84.980003,85.279999,70.491348,15973800
2012-04-20,85.550003,85.919998,85.029999,85.300003,70.507904,17216600
2012-04-23,84.529999,85.930000,84.389999,85.690002,70.830254,15197200
2012-04-24,85.639999,86.389999,85.639999,86.309998,71.342735,11632500
2012-04-25,86.650002,87.180000,85.720001,86.849998,71.789085,18476800
2012-04-26,85.279999,86.199997,85.150002,86.070000,71.144356,17262400
2012-04-27,86.500000,86.690002,85.959999,86.080002,71.152634,11372900
2012-04-30,85.959999,86.800003,85.870003,86.339996,71.367531,11735400
2012-05-01,86.459999,87.519997,86.129997,87.040001,71.946144,13816900
2012-05-02,86.559998,86.650002,85.830002,86.199997,71.251808,11108700
2012-05-03,86.360001,86.389999,85.309998,85.650002,70.797211,9998600
2012-05-04,85.110001,85.309998,84.400002,84.570000,69.904472,15055500
2012-05-07,84.290001,84.790001,84.099998,84.480003,69.830086,12018100
2012-05-08,83.750000,84.260002,82.919998,84.019997,69.449829,19602400
2012-05-09,83.040001,84.070000,82.879997,83.309998,68.862968,17424000
2012-05-10,83.370003,83.589996,82.550003,82.839996,68.946198,13234600
2012-05-11,82.690002,83.790001,82.540001,83.099998,69.162605,12061700
2012-05-14,82.269997,82.459999,81.959999,82.120003,68.346954,12675900
2012-05-15,82.000000,82.730003,81.529999,81.790001,68.072304,15757400
2012-05-16,81.959999,83.150002,81.790001,82.169998,68.388557,15034500
2012-05-17,82.150002,82.610001,81.680000,81.910004,68.172173,17698200
2012-05-18,82.370003,82.720001,81.029999,81.470001,67.805962,21747200
2012-05-21,81.419998,82.129997,81.070000,82.040001,68.280373,13730400
2012-05-22,82.139999,82.839996,81.519997,81.949997,68.205482,13790000
2012-05-23,81.790001,82.080002,79.959999,82.040001,68.280373,17582200
2012-05-24,82.290001,82.779999,81.709999,82.610001,68.754753,14113600
2012-05-25,82.860001,82.959999,81.680000,82.080002,68.313667,12756500
2012-05-29,82.639999,82.639999,81.320000,81.930000,68.188835,15931100
2012-05-30,81.080002,81.379997,79.589996,79.790001,66.407738,19593100
2012-05-31,79.879997,80.139999,78.410004,78.629997,65.442291,38954600
2012-06-01,77.870003,78.559998,77.470001,77.919998,64.851364,22870900
2012-06-04,78.089996,78.250000,77.199997,77.830002,64.776474,17711200
2012-06-05,77.589996,78.290001,77.129997,77.599998,64.585022,17715600
2012-06-06,78.370003,80.239998,78.080002,80.180000,66.732330,23880900
2012-06-07,80.980003,81.230003,80.349998,80.690002,67.156792,18409400
2012-06-08,80.080002,80.919998,79.459999,80.839996,67.281647,18150000
2012-06-11,81.620003,81.849998,80.169998,80.269997,66.807228,18031800
2012-06-12,80.739998,81.510002,80.620003,81.260002,67.631187,14162100
2012-06-13,80.940002,81.639999,80.279999,80.629997,67.106842,15098100
2012-06-14,80.860001,82.500000,80.730003,82.129997,68.355293,16942300
2012-06-15,82.570000,83.449997,82.220001,83.220001,69.262459,27342800
2012-06-18,82.510002,83.180000,82.349998,83.110001,69.170921,13885100
2012-06-19,83.730003,84.629997,83.309998,84.480003,70.311142,21053300
2012-06-20,84.400002,85.389999,84.059998,84.970001,70.718971,23274300
2012-06-21,85.040001,85.370003,82.050003,82.110001,68.338638,33751900
2012-06-22,82.680000,83.220001,82.110001,82.110001,68.338638,84747800
2012-06-25,81.220001,81.430000,79.779999,81.239998,67.614571,28761600
2012-06-26,81.510002,82.970001,81.209999,82.400002,68.580002,22853700
2012-06-27,82.809998,83.660004,82.709999,83.199997,69.245819,15301400
2012-06-28,82.660004,83.459999,82.019997,83.099998,69.162605,19140300
2012-06-29,84.779999,85.699997,84.459999,85.570000,71.218330,24906300
2012-07-02,85.440002,85.470001,84.540001,85.339996,71.026909,14447800
2012-07-03,85.690002,86.279999,85.620003,86.279999,71.809242,9787700
2012-07-05,85.330002,86.040001,85.150002,85.570000,71.218330,10797100
2012-07-06,84.260002,85.040001,84.199997,84.800003,70.577484,13259400
2012-07-09,84.519997,84.550003,83.019997,83.650002,69.620354,22361600
2012-07-10,84.080002,84.389999,82.830002,83.110001,69.170921,14106100
2012-07-11,83.480003,84.680000,83.239998,84.379997,70.227905,18337600
2012-07-12,83.410004,84.550003,83.320000,84.120003,70.011520,15566400
2012-07-13,84.449997,85.570000,84.260002,85.470001,71.135094,13642000
2012-07-16,84.830002,85.419998,84.660004,85.050003,70.785553,11269200
2012-07-17,85.180000,85.820000,84.099998,85.730003,71.351501,14059400
2012-07-18,85.339996,86.220001,85.070000,86.209999,71.750984,14203500
2012-07-19,86.019997,86.379997,85.620003,86.209999,71.750984,14902300
2012-07-20,85.870003,86.150002,85.269997,85.949997,71.534592,16838300
2012-07-23,84.800003,85.459999,84.330002,85.209999,70.918716,13597800
2012-07-24,85.209999,85.260002,83.500000,84.580002,70.394386,13948300
2012-07-25,85.139999,85.550003,84.660004,85.239998,70.943672,16566000
2012-07-26,85.559998,86.699997,85.260002,86.519997,72.008995,19149300
2012-07-27,86.589996,87.849998,85.500000,87.449997,72.783020,24079300
2012-07-30,87.279999,87.830002,87.080002,87.559998,72.874565,11183500
2012-07-31,87.370003,87.660004,86.790001,86.849998,72.283638,12212200
